number,number,number,string,string,string,number,number,number,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,string,string,string
zwLife,magicDefense,skill,logo,occupation,objectId,intelligence,zwDefense,zwMagicDefense,heroName,life,defense,zwIntelligence,zwSkill,zwAttack,attack,zwTxLife,zwTxAttack,zwTxIntelligence,zwTxDefense,zwTxMagicDefense,zwTxSkill,soldierLifeAdd,soldierAttackAdd,soldierDefenseAdd,soldierMagicDefenseAdd,fettersLv4,fettersLv7,occupationType
1000,375,99,https://patchwiki.biligame.com/images/langrisser/thumb/9/93/hvct06k8kdu0c96q4rlhu8r4dl9hm3e.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E5%B0%94%E5%A8%9C.png,遂梦之誓,6791a07df1014a639fcca744,601,90,90,席尔娜,3968,246,150,20,30,256,0,0,0,0,0,0,0.3,0.4,0.2,0.15,主动攻击进入战斗时，部队遭受伤害降低10%。,受到攻击进入战斗时，伤害提升10%。,法师
1000,375,130,https://patchwiki.biligame.com/images/langrisser/thumb/9/93/hvct06k8kdu0c96q4rlhu8r4dl9hm3e.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%AD%E5%B0%94%E5%A8%9C.png,梦之女王,6791a07df1014a639fcca745,601,90,90,席尔娜,4301,265,150,20,30,256,0,0,0,0,0,0,0.3,0.4,0.2,0.15,受到具有“弱化效果的部队攻击进入战斗时，遭受伤害降低10%。",与具有弱化效果"的部队战斗时，伤害提升10%。",魔物
1000,280,252,https://patchwiki.biligame.com/images/langrisser/thumb/f/f9/tj8949qu9hp81wfs0a1f7drkz4jcloz.png/82px-%E5%A4%B4%E5%83%8F_%E9%9C%9E.png,断命之天神,6791a07df1014a639fcca746,244,90,90,霞,4201,315,30,20,150,560,0,0,0,0,0,0,0.25,0.35,0.2,0.2,受到攻击进入战斗时，遭受物理伤害降低10%。,主动攻击进入战斗时，伤害提升10%。,刺客
1000,329,161,https://patchwiki.biligame.com/images/langrisser/thumb/4/42/964frpmeg6jke6pjbj6fgbo8y2frzmi.png/82px-%E5%A4%B4%E5%83%8F_%E5%A5%B3%E5%A4%A9%E7%8B%97.png,缭乱的天狗姬,6791a07df1014a639fcca747,222,90,90,女天狗,4406,307,30,20,150,607,0,0,0,0,0,0,0.2,0.4,0.15,0.25,与血量百分比低于自身的部队交战时，进入战斗后遭受伤害降低10%。,部队血量100%时，伤害提升10%。,飞兵
1000,292,269,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png,暗夜君王,6791a07df1014a639fcca749,251,90,90,断翼鸟,3852,299,30,20,150,569,0,0,0,0,0,0,0.2,0.4,0.15,0.25,遭受范围伤害降低10%。,主动攻击血量百分比低于自身的部队时，进入战斗后伤害提升10%。,刺客
1000,276,175,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/fevue17g39g2z4udp8e9pzzgd4clj00.png/82px-%E5%A4%B4%E5%83%8F_%E7%8E%9B%E8%8E%89%C2%B7%E8%90%9D%E4%B8%9D.png,小恶魔女仆,6791a07df1014a639fcca748,267,90,90,玛莉·萝丝,4552,343,30,20,150,590,0,0,0,0,0,0,0.3,0.4,0.2,0.1,主动攻击进入战斗时，部队遭受伤害降低10%。,受到攻击进入战斗时，伤害提升10%。,步兵
1000,318,239,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png,风暴主宰,6791a07df1014a639fcca74a,251,90,90,断翼鸟,3852,269,30,20,150,569,0,0,0,0,0,0,0.2,0.4,0.15,0.25,与血量百分比低于自身的部队交战时，进入战斗后遭受伤害降低10%。,与具有“弱化效果”的部队战斗时，伤害提升10%。,弓兵
1000,365,175,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png,深海复仇者,6791a07df1014a639fcca74b,580,90,90,兰黛尔,4159,278,150,20,30,270,0,0,0,0,0,0,0.3,0.3,0.1,0.3,主动攻击进入战斗时，部队遭受伤害降低10%。,受到魔法攻击进入战斗时，伤害提升10%。,法师
1000,353,175,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png,匣梦枭魔,6791a07df1014a639fcca74c,580,90,90,兰黛尔,4492,313,150,20,30,244,0,0,0,0,0,0,0.3,0.3,0.1,0.3,被血量百分比高于自身的部队攻击时，进入战斗后遭受伤害降低10%。,受到物理攻击进入战斗时，伤害提升10%。,魔物
1000,261,90,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png,炎狱掌控者,6791a07df1014a639fcca74d,271,90,90,炎龙破灭者,5187,415,30,20,150,580,0,0,0,0,0,0,0.4,0.3,0.3,0.1,部队血量低于70%时，进入战斗后遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,典藏魔物
1000,272,121,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png,赤曜征服者,6791a07df1014a639fcca74e,247,90,90,炎龙破灭者,4853,383,30,20,150,580,0,0,0,0,0,0,0.4,0.3,0.3,0.1,主动攻击进入战斗时，部队遭受伤害降低10%。,与具有“弱化效果”的部队战斗时，伤害提升10%。,典藏飞兵
